"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"12/31/2015","Amyris Biotechno Direct","AMYRIS BIOTECHNO DIRECT DEPPPD ID: 9111111101","2038.16","credit","Paycheck","Day to Day","",""
"12/31/2015","Interest","INTEREST PAYMENT","0.01","credit","Interest Income","CHASE SAVINGS","",""
"12/30/2015","REI","REI 113 MARINA","86.79","debit","Sporting Goods","CREDIT CARD","",""
"12/30/2015","Andronico's","ANDRONICOS MARKET 3 SAN FRANCISCO CA 179841  12/31","6.07","debit","Groceries","Day to Day","",""
"12/29/2015","Ripplewood Resort","RIPPLEWOOD RESORT BIG SUR CA12/28","15.00","debit","Hotel","Day to Day","",""
"12/28/2015","Hayes Valley Bak","SQ *HAYES VALLEY BAK San Francisco CA        12/28","6.20","debit","Advertising","Day to Day","",""
"12/28/2015","Andronico's","ANDRONICOS MARKET 3 SAN FRANCISCO CA         12/28 Purchase $33.","93.57","debit","Groceries","Day to Day","",""
"12/28/2015","Yummas","YUMMA`S SAN FRANCISCO CA12/24","6.00","debit","Restaurants","Day to Day","",""
"12/28/2015","Pp Chantalguil","PP*CHANTALGUIL SAN FRANCIS CA12/24","39.35","debit","Uncategorized","Day to Day","",""
"12/28/2015","Mountain Mike's Pizza","MOUNTAIN MIKES PIZZA MA MANTECACA           12/27","9.71","debit","Restaurants","Day to Day","",""
"12/28/2015","Russian Hill Bookstore","RUSSIAN HILL BOOKSTO SAN FRANCISCO CA        12/24","15.00","debit","Shopping","Day to Day","",""
"12/28/2015","Cozmic Cafe","Cozmic Cafe PLACERVILLE CA12/23","10.26","debit","Restaurants","Day to Day","",""
"12/25/2015","Chevron","CHEVRON 0090535","38.35","debit","Gas & Fuel","CREDIT CARD","",""
"12/25/2015","Danilo Bakery","DANILO BAKERY INC","95.04","debit","Restaurants","CREDIT CARD","",""
"12/23/2015","AES","AES              STDNT LOANPPD ID: E231693362","274.34","debit","Student Loan","Day to Day","",""
"12/23/2015","Starbucks","STARBUCKS #06991 SOU South LakeTa CA        12/22","2.45","debit","Coffee Shops","Day to Day","",""
"12/22/2015","Raley's","RALEY'S #119 SOUTH LAKE TA CA720690  12/22","11.17","debit","Groceries","Day to Day","",""
"12/22/2015","So Tahoe Parking","SO TAHOE PARKING GAR SOUTH LAKETA CA        12/22","5.00","debit","Parking","Day to Day","",""
"12/22/2015","Cozmic Cafe","Cozmic Cafe PLACERVILLE CA12/20","25.22","debit","Restaurants","Day to Day","",""
"12/22/2015","Snowshoe Thompson's","SNOWSHOE THOMPSONS SOUTH LAKE TACA          12/21","30.24","debit","Sporting Goods","Day to Day","",""
"12/22/2015","Heavenly","HEAVENLY PASS SALES SO LAKE TAHOE NV         12/21","121.00","debit","Legal","Day to Day","",""
"12/21/2015","Columbia Sportswear","COLUMBIA SPORTSWEAR 426","295.65","debit","Clothing","CREDIT CARD","",""
"12/21/2015","Azul Mexican Grill Inc.","AGAVE AZUL MEXICAN GRIL STATELINE NV         12/20","34.70","debit","Restaurants","Day to Day","",""
"12/21/2015","Sur La Table","SUR LA TABLE BERKELEY BERKELEY CA            12/17","21.85","debit","Furnishings","Day to Day","",""
"12/18/2015","Andronico's","ANDRONICOS MARKET 3 SAN FRANCISCO CA 047333  12/19","30.68","debit","Groceries","Day to Day","",""
"12/18/2015","Shalimaar Polk","SHALIMAAR OF POLK OAKLAND CA12/17","26.19","debit","Restaurants","Day to Day","",""
"12/18/2015","Stained Glass Garden","STAINED GLASS GARDEN BERKELEY CA12/17","81.85","debit","Home Improvement","Day to Day","",""
"12/17/2015","O'Reilly Auto Parts","OREILLY AUTO PARTS 3 SAN FRANCISCO CA        12/17","45.66","debit","Service & Parts","Day to Day","",""
"12/17/2015","Fastrak","FASTRAK CSC 415-486-8655 CA12/15","110.00","debit","Auto & Transport","Day to Day","",""
"12/17/2015","Pamir Afghan Cuisine","PAMIR AFGHAN CUISINE EMERYVILLECA           12/14","7.62","debit","Restaurants","Day to Day","",""
"12/16/2015","ATM Deposit","ATM CHECK DEPOSIT 12/15 301 CLEMENT ST SAN FRANCISCO CA","1270.44","credit","Income","Day to Day","",""
"12/15/2015","Planet Granite B","PLANET GRANITE B DUESPPD ID: 2943391093","77.00","debit","Gym","Day to Day","",""
"12/15/2015","Amyris Biotechno Direct","AMYRIS BIOTECHNO DIRECT DEPPPD ID: 9111111101","1927.71","credit","Paycheck","Day to Day","",""
"12/15/2015","Target","TARGET T- 1555 40th St Emeryville CA         12/15","25.48","debit","Shopping","Day to Day","",""
"12/15/2015","Andronico's","ANDRONICOS MARKET 3 SAN FRANCISCO CA 452024  12/15","5.44","debit","Groceries","Day to Day","",""
"12/14/2015","Chevron","CHEVRON 0090535","42.86","debit","Gas & Fuel","CREDIT CARD","",""
"12/14/2015","Philz Coffee, Inc.","SQ *PHILZ COFFEE INC. Berkeley CA            12/14","15.00","debit","Fast Food","Day to Day","",""
"12/14/2015","Safeway","SAFEWAY STORE     26 San Francisco CA797209  12/13","26.61","debit","Groceries","Day to Day","",""
"12/14/2015","Andronico's","ANDRONICOS MARKET 3 SAN FRANCISCO CA 178255  12/15","4.99","debit","Groceries","Day to Day","",""
"12/14/2015","Berkeley Bowl Market","BERKELEY BOWL MARKETPL BERKELEYCA   086821  12/14","70.84","debit","Groceries","Day to Day","",""
"12/14/2015","Pho Vietnam","PHO VIETNAM SAN FRAN SAN FRANCISCO CA        12/13","31.00","debit","Restaurants","Day to Day","",""
"12/14/2015","Royal","ROYAL GROUND COFFEE SAN FRANCISCO CA         12/12","6.20","debit","Financial","Day to Day","",""
"12/14/2015","Another Cafe","SQ *ANOTHER CAFE SAN FRANCISCO CA            12/13","2.25","debit","Restaurants","Day to Day","",""
"12/14/2015","Another Cafe","SQ *ANOTHER CAFE SAN FRANCISCO CA            12/13","2.25","debit","Restaurants","Day to Day","",""
"12/14/2015","Presidio Cale Park","PRESIDIO-CALE PARK SAN FRANCISCOCA          12/12","1.25","debit","Parking","Day to Day","",""
"12/14/2015","Planet Granite","PLANET GRANITE SAN FRANCISCO CA12/11","2.25","debit","Sports","Day to Day","",""
"12/14/2015","Spotify","ADY*Spotify 1649367890 646-8375380 NY        12/13","9.99","debit","Music","Day to Day","",""
"12/14/2015","Lyft","LYFT   *RIDE FRI 6PM 855-280-0278 CA         12/11","12.00","debit","Rental Car & Taxi","Day to Day","",""
"12/13/2015","Werkstatt","WERKSTATT MOTORCYCLES","868.53","debit","Home","CREDIT CARD","",""
"12/11/2015","Jiffy Lube","JIFFY LUBE #1349","218.73","debit","Service & Parts","CREDIT CARD","",""
"12/11/2015","Royal","ROYAL GROUND COFFEE SAN FRANCISCO CA         12/10","7.70","debit","Financial","Day to Day","",""
"12/10/2015","Pho Vietnam","PHO VIETNAM SAN FRAN SAN FRANCISCO CA        12/09","12.82","debit","Restaurants","Day to Day","",""
"12/10/2015","Another Cafe","SQ *ANOTHER CAFE SAN FRANCISCO CA            12/09","2.75","debit","Restaurants","Day to Day","",""
"12/10/2015","Super Duper","SUPER DUPER BURGER SAN FRANCISCOCA          12/08","11.69","debit","Groceries","Day to Day","",""
"12/09/2015","E Trade Ach","E*TRADE          ACH TRNSFRPPD ID: 1391321258","1000.00","credit","Transfer","Day to Day","",""
"12/08/2015","Jiffy Lube","JIFFY LUBE #1349","66.19","debit","Service & Parts","CREDIT CARD","",""
"12/08/2015","Columbia Sportswear","COLUMBIA SPORTSWEAR 426","67.88","debit","Clothing","CREDIT CARD","",""
"12/08/2015","The Beanery","THE BEANERY 2 SAN FRANCIS CA12/06","6.10","debit","Coffee Shops","Day to Day","",""
"12/08/2015","Venmo","VENMO-2          PAYMENT    130062122       CCD ID: 2264681992","460.27","debit","Transfer","Day to Day","",""
"12/08/2015","Andronico's","ANDRONICOS MARKET 3 SAN FRANCISCO CA 000914  12/08","4.58","debit","Groceries","Day to Day","",""
"12/07/2015","Amazon","AMAZON MKTPLACE PMTS","106.74","debit","Shopping","CREDIT CARD","",""
"12/07/2015","Lagunitas","LAGUNITAS PETALUMA","20.00","debit","Alcohol & Bars","CREDIT CARD","",""
"12/07/2015","Safeway","SAFEWAY STORE     26 San Francisco CA        12/06 Purchase $26.","86.08","debit","Groceries","Day to Day","",""
"12/07/2015","Marnee Thai Restaurant","MARNEE THAI RESTAURA SAN FRANCISCO CA        12/05","13.64","debit","Restaurants","Day to Day","",""
"12/07/2015","Spoon","SPOON BERKELEY CA12/04","9.86","debit","Fast Food","Day to Day","",""
"12/07/2015","ATM Deposit","ATM CHECK DEPOSIT 12/07 2750 VANNESS AVE SAN FRANCISCO CA","870.18","credit","Income","Day to Day","",""
"12/06/2015","Chevron","CHEVRON 0091000","37.31","debit","Gas & Fuel","CREDIT CARD","",""
"12/04/2015","Tony's Pizza Napoletana","TONYS PIZZA NAPOLETA SAN FRANCISCO CA        12/03","12.51","debit","Fast Food","Day to Day","",""
"12/04/2015","Seaglass Cafe","SEAGLASS CAFE 582477 SAN FRANCISCO CA        12/03","10.60","debit","Restaurants","Day to Day","",""
"12/03/2015","Yummas","YUMMA`S SAN FRANCISCO CA12/03","11.15","debit","Restaurants","Day to Day","",""
"12/02/2015","AT&T","AT&T S173 5935","324.70","debit","Home Phone","CREDIT CARD","",""
"12/02/2015","AT&T","AT&T S173 5935","159.79","debit","Home Phone","CREDIT CARD","",""
"12/01/2015","Transfer from Day to Day","AUTOMATIC PAYMENT - THANK","569.34","credit","Credit Card Payment","CREDIT CARD","",""
"12/01/2015","E Trade Ach","E*TRADE          ACH TRNSFRPPD ID: 1391321258","500.00","debit","Transfer","Day to Day","",""
"12/01/2015","Transfer to CREDIT CARD","CHASE            AUTOPAY    000000000039215 PPD ID: 4760039224","569.34","debit","Credit Card Payment","Day to Day","",""
"12/01/2015","E Trade Ach","E*TRADE          ACH TRNSFRPPD ID: 1391321258","200.00","debit","Transfer","Day to Day","",""
"12/01/2015","Bay Street Garage","BAY STREET GARAGE EMERYVILLE CA11/30","2.00","debit","Parking","Day to Day","",""
"12/01/2015","Posh Bagel","POSH BAGEL SAN FRANCISCO CA11/29","5.64","debit","Restaurants","Day to Day","",""
"12/01/2015","Sports Basement San","SPORTS BASEMENT INC SAN FRANCISCO CA 993830  12/01","1.50","debit","Shopping","Day to Day","",""
"12/01/2015","Sports Basement San","SPORTS BASEMENT INC SAN FRANCISCO CA 993817  12/01","60.00","debit","Shopping","Day to Day","",""
"11/30/2015","Sqc Ca","SQC*S .  / CA11/29","1166.00","debit","Mortgage & Rent","Day to Day","",""
"11/30/2015","Berkeley Bowl Market","BERKELEY BOWL MARKETPL BERKELEYCA   077817  11/30","30.55","debit","Groceries","Day to Day","",""
"11/30/2015","Amazon","AMZ*RainbowOrchards Camino CA11/28","11.00","debit","Shopping","Day to Day","",""
"11/30/2015","Andronico's","ANDRONICOS MARKET 3 SAN FRANCISCO CA 288552  11/30","12.26","debit","Groceries","Day to Day","",""
"11/30/2015","Amyris Biotechno Direct","AMYRIS BIOTECHNO DIRECT DEPPPD ID: 9111111101","1914.97","credit","Paycheck","Day to Day","",""
"11/30/2015","Interest","INTEREST PAYMENT","0.01","credit","Interest Income","CHASE SAVINGS","",""
"8/07/2015","Tourist Club","WPY*SF Tourist Club","42.00","debit","Alcohol & Bars","CREDIT CARD","",""
"8/07/2015","Sports Basement Berkeley","SPORTS BASEMENT BERKELEY","96.68","debit","Shopping","CREDIT CARD","",""
"8/06/2015","Chevron","CHEVRON 00090535","53.25","debit","Gas & Fuel","CREDIT CARD","",""
"8/06/2015","Wheel Works","WHEEL WORKS 120383","313.00","debit","Service & Parts","CREDIT CARD","",""
"8/06/2015","Whittakers","WHITTAKER MOUNTAINEERING","62.58","debit","Gift","CREDIT CARD","",""
"8/06/2015","Young's Backpacking, Inc","YOUNGS BACKPACKING INC BERKELEYCA   373719  08/06","7.61","debit","Sporting Goods","Day to Day","",""
"8/06/2015","Andronico's","ANDRONICOS MARKET 3 SAN FRANCISCO CA 385673  08/06","28.31","debit","Groceries","Day to Day","",""
"8/05/2015","Jiffy Lube","JIFFY LUBE #1349","56.19","debit","Service & Parts","CREDIT CARD","",""
"8/05/2015","Black Diamond Cafe LLC","BLACK DIAMOND CAFE EMERYVILLE CA08/03","8.21","debit","Restaurants","Day to Day","",""
"8/05/2015","Trader Joe's","TRADER JOE'S # 100 SANFRANCISCOCA   089038  08/04","19.12","debit","Groceries","Day to Day","",""
"8/03/2015","Macy's","MACY'S    170 O'FARR SAN FRANCISCO CA        08/02","53.83","debit","Clothing","Day to Day","",""
"8/03/2015","DSW Designer Shoe Warehouse","DSW UNION SQ SAN FRANCISCO CA08/02","114.14","debit","Clothing","Day to Day","",""
"8/03/2015","Safeway","SAFEWAY STORE     26 San Francisco CA        08/02 Purchase $49.","69.60","debit","Groceries","Day to Day","",""
"8/03/2015","Presidio Cale Park","PRESIDIO-CALE PARK SAN FRANCISCOCA          08/02","1.25","debit","Parking","Day to Day","",""
"8/03/2015","E Trade Ach","E*TRADE          ACH TRNSFRPPD ID: 1391321258","500.00","debit","Transfer","Day to Day","",""
"8/03/2015","Snorkel Bob's","SNORKEL BOB'S WAIL KIHEI HI07/30","22.92","debit","Entertainment","Day to Day","",""
"8/03/2015","Coconuts","COCONUTS FISH CAFE - H KIHEI HI07/31","37.29","debit","Restaurants","Day to Day","",""
"8/03/2015","Snorkel Bob's","SNORKEL BOB'S WAIL KIHEI HI07/30","9.37","debit","Entertainment","Day to Day","",""
"8/03/2015","Redbox","REDBOX *DVD RENTAL OAKBROOK TERIL           08/02","1.63","debit","Movies & DVDs","Day to Day","",""
"8/03/2015","Berkeley Bowl Market","BERKELEY BOWL MARKETPL BERKELEYCA   121685  08/01","27.51","debit","Groceries","Day to Day","",""
"8/03/2015","E Trade Ach","E*TRADE          ACH TRNSFRPPD ID: 1391321258","200.00","debit","Transfer","Day to Day","",""
"7/31/2015","Transfer from Day to Day","AUTOMATIC PAYMENT - THANK","987.81","credit","Credit Card Payment","CREDIT CARD","",""
"7/31/2015","Amyris Biotechno Direct","AMYRIS BIOTECHNO DIRECT DEPPPD ID: 9111111101","2127.38","credit","Paycheck","Day to Day","",""
"7/31/2015","Tesoro","TESORO 61073 KIHEI HI752753  07/30","45.25","debit","Gas & Fuel","Day to Day","",""
"7/31/2015","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA         07/31","0.99","debit","Music","Day to Day","",""
"7/31/2015","D F S Galleria","DFS GALLERIA KAHULUI KAHULUI HI672524  07/31","10.42","debit","Gift","Day to Day","",""
"7/31/2015","Maui Clothing Outlet","MAUI CLOTHING OUTLET KIHEI HI156051  07/31","32.23","debit","Clothing","Day to Day","",""
"7/31/2015","Transfer to CREDIT CARD","CHASE            AUTOPAYPPD ID: 4760039224","987.81","debit","Credit Card Payment","Day to Day","",""
"7/31/2015","Interest","INTEREST PAYMENT","0.01","credit","Interest Income","CHASE SAVINGS","",""
"7/30/2015","Maui Brewing Co.","SQ *MAUI BREWING CO. Kihei HI07/29","20.00","debit","Business Services","Day to Day","",""
"7/30/2015","Gazebo Restaurant","GAZEBO RESTAURANT AND G LAHAINAHI           07/29","35.10","debit","Restaurants","Day to Day","",""
"7/29/2015","Star Noodle","STAR NOODLE LLC LAHAINA HI07/27","36.00","debit","Business Services","Day to Day","",""
"7/29/2015","The Cottonwood","THE COTTONWOOD CAFE OAKDALE CA07/18","8.00","debit","Charity","Day to Day","",""
"7/29/2015","Sqc Sharon Ca","SQC*SHARON .  / CA07/28","1100.00","debit","Mortgage & Rent","Day to Day","",""
"7/28/2015","Joeys","JOEYS KITCHEN LAHAINA HI07/26","28.02","debit","Personal Care","Day to Day","",""
"7/28/2015","Safeway","SAFEWAY  STORE  1222 LAHAINA HI242571  07/28","12.48","debit","Groceries","Day to Day","",""
"7/27/2015","ABC Store","ABC STORES Lahaina HI07/27","16.80","debit","Alcohol & Bars","Day to Day","",""
"7/27/2015","Peet's Coffee","PEETS SFO #2 SAN FRANCISCO CA07/25","2.51","debit","Coffee Shops","Day to Day","",""
"7/27/2015","Ramen Parlor","RAMEN PARLOR SAN MATEO CA07/24","34.00","debit","Restaurants","Day to Day","",""
"7/27/2015","Fraiche","FRAICHE SFO AIRPOR PALA ALTO CA07/25","4.12","debit","Restaurants","Day to Day","",""
"7/27/2015","Gate","KLEINS DELI GATE 83 SAN FRANCISCO CA         07/25","8.84","debit","Gas & Fuel","Day to Day","",""
"7/27/2015","Kona Airport Rest","KONA AIRPORT REST 7916 KAILUA KONA HI        07/25","21.75","debit","Air Travel","Day to Day","",""
"7/27/2015","Fastrak","FASTRAK CSC 415-486-8655 CA07/25","130.00","debit","Auto & Transport","Day to Day","",""
"7/26/2015","Patagonia","PATAGONIA #00003","232.73","credit","Sporting Goods","CREDIT CARD","",""
"7/23/2015","Andronico's","ANDRONICOS MARKET 3 SAN FRANCISCO CA 468012  07/24","13.30","debit","Groceries","Day to Day","",""
"7/23/2015","AES","AES              STDNT LOANPPD ID: E231693362","274.34","debit","Student Loan","Day to Day","",""
"7/23/2015","MTA","CCSF MTA IPS PRKNG M SAN FRANCISCO CA        07/22","0.50","debit","Public Transportation","Day to Day","",""
"7/23/2015","Beverages & More","BEVERAGES & MORE #116 EMERYVILLECA  842319  07/23","15.94","debit","Alcohol & Bars","Day to Day","",""
"7/23/2015","Chevron","CHEVRON 00208478","53.95","debit","Gas & Fuel","CREDIT CARD","",""
"7/23/2015","Target","TARGET        00027680","54.84","debit","Shopping","CREDIT CARD","",""
"7/20/2015","BART","BART-CLIPPER POWELL SAN FRANCISCO CA         07/20","30.05","debit","Public Transportation","Day to Day","",""
"7/20/2015","Berkeley Bowl Market","BERKELEY BOWL MARKETPL BERKELEYCA   824386  07/20","38.47","debit","Groceries","Day to Day","",""
"7/20/2015","Andronico's","ANDRONICOS MARKET 3 SAN FRANCISCO CA 826366  07/20","2.89","debit","Groceries","Day to Day","",""
"7/20/2015","Pete's Brass Rail & Car Wash","PETE'S BRASS RAIL & CA DANVILLECA           07/19","25.00","debit","Restaurants","Day to Day","",""
"7/20/2015","Raley's","RALEY'S #311 MANTECA CA764875  07/19","5.99","debit","Groceries","Day to Day","",""
"7/17/2015","Trader Joe's","TRADER JOE'S # 072 EMERYVILLE CA412895  07/17","5.04","debit","Groceries","Day to Day","",""
"7/17/2015","Raley's","RALEY'S #311 MANTECA CA733795  07/17","28.93","debit","Groceries","Day to Day","",""
"7/17/2015","Irving","828 IRVING MARKET SAN FRANCISCOCA   006522  07/16","12.45","debit","Gas & Fuel","Day to Day","",""
"7/16/2015","MTA","CCSF MTA IPS PRKNG M SAN FRANCISCO CA        07/15","1.25","debit","Public Transportation","Day to Day","",""
"7/15/2015","Apple","GREEN APPLE BOOKS SAN FRANCISCOCA   183393  07/15","11.84","debit","Electronics & Software","Day to Day","",""
"7/15/2015","Planet Granite B","PLANET GRANITE B DUESPPD ID: 2943391093","77.00","debit","Gym","Day to Day","",""
"7/15/2015","MTA","CCSF MTA IPS PRKNG M SAN FRANCISCO CA        07/14","0.47","debit","Public Transportation","Day to Day","",""
"7/15/2015","ATM Withdrawal","ATM WITHDRAWAL000370  07/15301 CLEME","40.00","debit","Cash & ATM","Day to Day","",""
"7/15/2015","Amyris Biotechno Direct","AMYRIS BIOTECHNO DIRECT DEPPPD ID: 9111111101","1880.98","credit","Paycheck","Day to Day","",""
"7/14/2015","Bay Street Garage","BAY STREET GARAGE EMERYVILLE CA07/13","2.00","debit","Parking","Day to Day","",""
"7/14/2015","Rubio's","RUBIO'S #155 EMERYVILLE CA07/13","8.20","debit","Fast Food","Day to Day","",""
"7/14/2015","Spotify","Spotify USA 877-778-1161 NY07/13","9.99","debit","Music","Day to Day","",""
"7/14/2015","Chevron","CHEVRON 00091000","56.00","debit","Gas & Fuel","CREDIT CARD","",""
"7/13/2015","Andronico's","ANDRONICOS MARKET 3 SAN FRANCISCO CA 123191  07/12","16.42","debit","Groceries","Day to Day","",""
"7/13/2015","Ling Kitchen","DUMPLING KITCHEN SAN FRANCISCO CA            07/10","34.65","debit","Restaurants","Day to Day","",""
"7/13/2015","Emery Bay Cafe","EMERY BAY CAFE EMERYVILLE CA07/10","6.79","debit","Restaurants","Day to Day","",""
"7/13/2015","Trader Joe's","TRADER JOE'S # 072 EMERYVILLE CA535833  07/13","32.75","debit","Groceries","Day to Day","",""
"7/10/2015","Planet Granite","PLANET GRANITE SAN FRANCISCO CA07/09","1.75","debit","Sports","Day to Day","",""
"7/10/2015","Berkeley Bowl Market","BERKELEY BOWL MARKETPL BERKELEYCA   086800  07/10","14.97","debit","Groceries","Day to Day","",""
"7/08/2015","Blick Art","BLICK ART 800 447 1892","42.84","debit","Arts","CREDIT CARD","",""
"7/07/2015","Andronico's","ANDRONICOS MARKET 3 SAN FRANCISCO CA 466702  07/07","11.47","debit","Groceries","Day to Day","",""
"7/06/2015","Sq Gear Grind","SQ *GEAR & GRIND CAFE Tahoe CityCA          07/05","7.24","debit","Restaurants","Day to Day","",""
"7/06/2015","Changs Kitchen","CHANGS KITCHEN SAN FRANCISCO CA07/05","8.75","debit","Uncategorized","Day to Day","",""
"7/06/2015","Berkeley Bowl Market","BERKELEY BOWL MARKETPL BERKELEYCA   446690  07/06","36.61","debit","Groceries","Day to Day","",""
"7/06/2015","Pilot Travel Center","PILOT","45.55","debit","Gas & Fuel","CREDIT CARD","",""
"7/03/2015","PDQ","PDQ 503 6890 WEST LAKE TAHOMA CA07/03","17.66","debit","Gas & Fuel","Day to Day","",""
"7/03/2015","Ci Berkeley Adeline","CI OF BERKELEY ADELINE BERKELEYCA           07/01","0.60","debit","Restaurants","Day to Day","",""
"7/03/2015","Doma","DOMA TAHOE CITY CA07/02","25.73","debit","Uncategorized","Day to Day","",""
"7/02/2015","E Trade Ach","E*TRADE          ACH TRNSFRPPD ID: 1391321258","400.00","debit","Transfer","Day to Day","",""
"7/02/2015","Chevron","CHEVRON 00208478","55.66","debit","Gas & Fuel","CREDIT CARD","",""
"7/02/2015","Hotels.com","HOTELS.COM123371706711","125.99","debit","Hotel","CREDIT CARD","",""
"7/01/2015","E Trade Ach","E*TRADE          ACH TRNSFRPPD ID: 1391321258","200.00","debit","Transfer","Day to Day","",""
"7/01/2015","Transfer to CREDIT CARD","CHASE            AUTOPAYPPD ID: 4760039224","2031.95","debit","Credit Card Payment","Day to Day","",""
"7/01/2015","Andronico's","ANDRONICOS MARKET 3 SAN FRANCISCO CA 656201  07/01","4.61","debit","Groceries","Day to Day","",""
"7/01/2015","Transfer from Day to Day","AUTOMATIC PAYMENT - THANK","2031.95","credit","Credit Card Payment","CREDIT CARD","",""
"6/30/2015","Interest","INTEREST PAYMENT","0.01","credit","Interest Income","CHASE SAVINGS","",""
"6/30/2015","Amyris Biotechno Direct","AMYRIS BIOTECHNO DIRECT DEPPPD ID: 9111111101","2093.38","credit","Paycheck","Day to Day","",""
"6/30/2015","Venmo Ccd Id","VENMO            PAYMENT    77496867        CCD ID: 2264681992","175.00","debit","Uncategorized","Day to Day","",""
"6/30/2015","Sqc Sharon Ca","SQC*SHARON .  / CA06/29","1100.00","debit","Mortgage & Rent","Day to Day","",""
"6/29/2015","Trader Joe's","TRADER JOE'S #200 QP SAN FRANCISCO CA059909  06/28","9.46","debit","Groceries","Day to Day","",""
"6/29/2015","Rude Brothers Bagel & Coffee","RUDE BROTHERS BAGEL SOUTH LAKE TA CA         06/28","17.50","debit","Restaurants","Day to Day","",""
"6/29/2015","Rude Brothers Bagel & Coffee","RUDE BROTHERS BAGEL SOUTH LAKE TA CA         06/28","17.93","debit","Restaurants","Day to Day","",""
"6/29/2015","Berkeley Bowl Market","BERKELEY BOWL MARKETPL BERKELEYCA   475991  06/29","43.40","debit","Groceries","Day to Day","",""
"6/26/2015","Chevron","CHEVRON 00205716","46.45","debit","Gas & Fuel","CREDIT CARD","",""
"6/25/2015","Fastrak","FASTRAK CSC 415-486-8655 CA06/23","130.00","debit","Auto & Transport","Day to Day","",""
"6/25/2015","Amazon","Amazon.com","44.04","debit","Shopping","CREDIT CARD","",""
"6/24/2015","Presidio Cale Park","PRESIDIO-CALE PARK SAN FRANCISCOCA          06/23","0.50","debit","Parking","Day to Day","",""
"6/24/2015","Amazon","AMAZON MKTPLACE PMTS","50.31","debit","Shopping","CREDIT CARD","",""
"6/23/2015","Safeway","SAFEWAY STORE     26 San Francisco CA340445  06/22","10.13","debit","Groceries","Day to Day","",""
"6/23/2015","AES","AES              STDNT LOANPPD ID: E231693362","274.34","debit","Student Loan","Day to Day","",""
"6/23/2015","Wpy Jacqui Rowley","WPY*jacqui rowley","60.00","debit","Uncategorized","CREDIT CARD","",""
"6/22/2015","Cow Girlz","COWGIRL CREAMERY POINT REYES S CA            06/21","14.00","debit","Clothing","Day to Day","",""
"6/22/2015","Safeway","SAFEWAY STORE     26 San Francisco CA022435  06/21","64.93","debit","Groceries","Day to Day","",""
"6/22/2015","Manna","MANNA SAN FRANCISCO CA06/19","29.00","debit","Food & Dining","Day to Day","",""
"6/22/2015","Sq Nook","SQ *NOOK San Francisco CA06/21","7.50","debit","Uncategorized","Day to Day","",""
"6/19/2015","Planet Granite","PLANET GRANITE SAN FRANCISCO CA06/18","4.00","debit","Sports","Day to Day","",""
"6/19/2015","Andronico's","ANDRONICOS MARKET 3 SAN FRANCISCO CA 409182  06/19","13.47","debit","Groceries","Day to Day","",""
"6/19/2015","Chevron","CHEVRON 00090535","57.15","debit","Gas & Fuel","CREDIT CARD","",""
"6/15/2015","Raley's","RALEY'S #311 MANTECA CA709844  06/12","17.27","debit","Groceries","Day to Day","",""
"6/15/2015","Simply Greek","SIMPLY GREEK BERKELEY BERKELEY CA            06/12","9.53","debit","Restaurants","Day to Day","",""
"6/15/2015","City of Berkeley","CITY OF BERKELEY- IPS BERKELEY CA            06/12","0.55","debit","Fees & Charges","Day to Day","",""
"6/15/2015","Amyris Biotechno Direct","AMYRIS BIOTECHNO DIRECT DEPPPD ID: 9111111101","1965.94","credit","Paycheck","Day to Day","",""
"6/15/2015","Spotify","Spotify USA 877-778-1161 NY06/13","9.99","debit","Music","Day to Day","",""
"6/15/2015","Planet Granite B","PLANET GRANITE B DUESPPD ID: 2943391093","77.00","debit","Gym","Day to Day","",""
"6/15/2015","Andronico's","ANDRONICOS MARKET 3 SAN FRANCISCO CA 776064  06/16","19.32","debit","Groceries","Day to Day","",""
"6/15/2015","Raley's","RALEY'S #311 MANTECA CA778050  06/15","9.53","debit","Groceries","Day to Day","",""
"6/15/2015","Raley's","RALEY'S #311 MANTECA CA609867  06/14","5.90","debit","Groceries","Day to Day","",""
"6/15/2015","Mar-val","MAR-VAL #5 19000 MAIN GROVELANDCA   816789  06/14","1.87","debit","Groceries","Day to Day","",""
"6/15/2015","Yosemite Np Bigoakfl","YOSEMITE NP-BIGOAKFL YOSEMITE NTPK CA        06/13","60.00","debit","Uncategorized","Day to Day","",""
"6/14/2015","REI","REI 12 BERKELEY","272.27","debit","Sporting Goods","CREDIT CARD","",""
"6/14/2015","Cruisers","CRUISERS MANTECA","42.93","debit","Gas & Fuel","CREDIT CARD","",""
"6/12/2015","Safeway","SAFEWAY STORE     26 San Francisco CA481453  06/11","23.91","debit","Groceries","Day to Day","",""
"6/12/2015","Sports Basement Berkeley","SPORTS BASEMENT,INC BERKELEY CA200201  06/12","22.17","debit","Shopping","Day to Day","",""
"6/12/2015","Yosemite Valley Wi","YOSEMITE VALLEY WI 209-372-0740CA           06/11","10.00","debit","Uncategorized","Day to Day","",""
"6/12/2015","City of Berkeley","CITY OF BERKELEY- IPS BERKELEY CA            06/11","0.55","debit","Fees & Charges","Day to Day","",""
"6/12/2015","Za Pizza","ZA PIZZA SAN FRANCISCO CA06/10","20.12","debit","Restaurants","Day to Day","",""
